train_loss,train_loss_loc,train_loss_str,val_loss,val_loss_loc,val_loss_str,best_val_loss,best_val_loss_loc,best_val_loss_str,best_epoch,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/lr,config/mpnn_hidden_dim,config/mpnn_num_layers,config/attn_num_heads,config/attn_num_layers,config/token_dim,config/pooling_strategy,config/weight_decay,config/dropout,config/mp_layer_norm,config/epochs,config/early_stop_patience,config/early_stop_min_delta,config/train_batch_size,config/val_batch_size,config/head_mlp_hidden_dim,config/gradient_clip_max_norm,config/scheduler,config/scheduler_min_lr,config/seed,config/device,config/train_path,config/val_path,config/num_output_sources,config/node_in_dim,config/edge_in_dim,logdir
0.013963462490164027,0.008911965462037279,0.005051496992760067,0.021328516252994537,0.016895578611850738,0.004432937641143799,0.021328516252994537,0.016895578611850738,0.004432937641143799,24,24,1771584540,,True,25,fn_4f1d3b54,2026-02-20_11-49-00,74.16559600830078,1817.3350040912628,1446873,compute4,130.149.110.149,1817.3350040912628,25,0.0008577602391859799,256,4,2,2,256,cls_token,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,4f1d3b54
0.004074352519303749,0.002414101491611498,0.0016602510232714158,0.009915422422885895,0.007840659657478332,0.0020747627654075624,0.008947030676960946,0.006995128528118133,0.0019519021488428115,105,119,1771590695,,True,120,fn_537ddf8d,2026-02-20_13-31-35,66.54581594467163,7966.678178548813,1447148,compute4,130.149.110.149,7966.678178548813,120,0.0006530989541936602,128,4,8,2,64,mean_pooling,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,537ddf8d
0.00824007251052351,0.005405737735519681,0.0028343348015288385,0.01319118400335312,0.009441161081790925,0.003750022921562195,0.011883249647378922,0.009563494715690613,0.002319754931688309,117,119,1771590581,,True,120,fn_f7c18259,2026-02-20_13-29-41,65.74605131149292,7847.65967297554,1447298,compute4,130.149.110.149,7847.65967297554,120,0.00010775428936393448,128,1,2,2,64,cls_token,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,f7c18259
0.014659324613741682,0.009869524242379997,0.004789800389045024,0.028054078289031982,0.02087021378517151,0.007183864503860474,0.023444915594816207,0.01944082664489746,0.004004088949918747,22,24,1771586143,,True,25,fn_9529970f,2026-02-20_12-15-43,64.23505330085754,1597.0477893352509,1459039,compute4,130.149.110.149,1597.0477893352509,25,0.00015958860710027525,64,4,4,8,64,mean_pooling,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,9529970f
0.00440334457067089,0.002776517556343652,0.001626827001064733,0.010602779297828675,0.008511447331666946,0.002091331966161728,0.008556852886974812,0.0066903817448616025,0.0018664711421132088,105,119,1771594063,,True,120,fn_4d783d5c,2026-02-20_14-27-43,65.64245128631592,7913.336325407028,1468226,compute4,130.149.110.149,7913.336325407028,120,0.001124774611929743,64,4,8,6,64,mean_pooling,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,4d783d5c
0.008964429992616554,0.006128369046587355,0.002836060960765315,0.01431562158203125,0.01129690078163147,0.0030187208003997802,0.013217268691539764,0.010737133091449738,0.0024801356000900268,46,49,1771593916,,True,50,fn_2845987c,2026-02-20_14-25-16,66.91881775856018,3329.1977829933167,1521535,compute4,130.149.110.149,3329.1977829933167,50,0.00019810290278153746,128,2,2,4,64,cls_token,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,2845987c
0.012592218580502497,0.00884683681298283,0.0037453817085752006,0.022024172254562376,0.01801263931655884,0.00401153293800354,0.02121346444416046,0.01753591073322296,0.0036775537109375,22,24,1771592386,,True,25,fn_9bf1ee33,2026-02-20_13-59-46,67.81518411636353,1685.9227883815765,1524251,compute4,130.149.110.149,1685.9227883815765,25,0.00017002942983089446,128,4,4,8,256,mean_pooling,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,9bf1ee33
0.005002496192302508,0.003080401977795306,0.0019220942204016484,0.012106421345233917,0.009823412612915038,0.0022830087323188783,0.010016748877525329,0.007871101239681244,0.002145647637844086,69,99,1771598891,,True,100,fn_bc00cecf,2026-02-20_15-48-11,67.43905901908875,6497.886689901352,1564056,compute4,130.149.110.149,6497.886689901352,100,0.0010197714424694368,64,3,4,6,128,mean_pooling,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,bc00cecf
0.012319264815577978,0.00833095750429585,0.003988307364332148,0.020948703525543212,0.017048312767028808,0.003900390758514404,0.020948703525543212,0.017048312767028808,0.003900390758514404,24,24,1771595734,,True,25,fn_67714e7d,2026-02-20_14-55-34,70.63647079467773,1813.3465843200684,1585918,compute4,130.149.110.149,1813.3465843200684,25,0.001464458219756228,256,4,2,4,64,cls_token,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,67714e7d
0.008172305442298515,0.0055716948766449965,0.0026006105317604505,0.01505417298412323,0.011314689520835877,0.0037394834632873534,0.012149374072551728,0.009889895342826843,0.002259478729724884,41,49,1771597337,,True,50,fn_986c0a00,2026-02-20_15-22-17,65.53176045417786,3267.991462469101,1586832,compute4,130.149.110.149,3267.991462469101,50,0.00035970071419464447,64,2,2,2,128,cls_token,0.0,0.1,False,120,40,1e-05,128,256,256,1.0,False,5e-06,0,cuda,/mnt/data/zaid/projects/simulated_data/step1.h5,/mnt/data/zaid/projects/simulated_data/validation.h5,1,6,6,986c0a00
